instance,instance_sha256,matches_manifest,rows,columns,nonzeros,expected_status,status,message,certificate,certificate_multipliers,our_objective,published_objective,absolute_gap,relative_gap,independently_verified,verifier_message,passed,failure_reason,wall_seconds,solver_seconds,iterations,algorithm,time_limit,git_commit,machine,timestamp_utc,solver_options
bgindy,3de2a7d877b4bc95162e15c3ea58a917a584f719d781936864a89969459582d3,1,2671,10116,65502,infeasible,infeasible,"dual simplex: basic variable 12627 is outside its bounds by 7.134e+03, far above the 1.0e-07 feasibility tolerance, and no nonbasic column can move it (the dual is unbounded), at iteration 2; route: the scaled attempt returned infeasible after 0.0 s of its 30 s share; neither attempt produced a usab",farkas,3,,,,,1,VERIFIED: 10 checks passed,1,,6.116854,0.0948655,2,simplex-dual,60.0,78cc077,Windows-AMD64,2026-09-24T06:00:22+00:00,
box1,9f557c377ec94c9dfe9352f7db4f63b64931107653cc4eda52adcb4e83dd31d7,1,231,261,651,infeasible,infeasible,"dual simplex: basic variable 271 is outside its bounds by 7.071e-01, far above the 1.0e-07 feasibility tolerance, and no nonbasic column can move it (the dual is unbounded), at iteration 11; route: the scaled attempt returned infeasible after 0.0 s of its 30 s share; neither attempt produced a usabl",farkas,8,,,,,1,VERIFIED: 10 checks passed,1,,0.200368,0.0068705,11,simplex-dual,60.0,78cc077,Windows-AMD64,2026-09-24T06:00:22+00:00,
ceria3d,13621278cc53239b77e9f27e7c4f31bf5738ec255afb1da68720edaf3521e527,1,3576,824,17602,infeasible,infeasible,row 292 needs activity of at least 0.75 but the column bounds cap it at 0.5; proved by presolve; no machine-checkable certificate accompanies this verdict,none,0,,,,,,VERIFIED: 1 checks passed,0,infeasible without a certificate (presolve),1.466239,0.0029901,0,presolve,60.0,78cc077,Windows-AMD64,2026-09-24T06:00:22+00:00,
cplex1,9b0af7aa14310f63eaef5da71b660baca881dbe6033be91a94f40fd8e27e8688,1,3005,3221,8944,infeasible,infeasible,"phase 1 terminated with max bound violation 6.834e+06, far above the 1.0e-07 feasibility tolerance; route: the scaled attempt returned infeasible after 0.4 s of its 30 s share; neither attempt produced a usable point; the scaled attempt came closer to feasibility and is reported; proof: the rows agg",farkas,5,,,,,1,VERIFIED: 10 checks passed,1,,1.482655,1.0421508,2165,simplex-dual+primal,60.0,78cc077,Windows-AMD64,2026-09-24T06:00:22+00:00,
cplex2,0880d61868b1d4308189fdb2cd020fc7068d3552d1c6aead9ef1edb9579624d7,1,224,221,1058,infeasible,numerical_error,"phase 1 stalled at max bound violation 4.100e-06, only just above the 1.0e-07 feasibility tolerance; no column prices as improving, but this is a numerical stall rather than a proof that the model is infeasible; route: the scaled attempt returned numerical_error after 0.0 s of its 30 s share; neithe",none,0,,,,,,VERIFIED: 1 checks passed,0,no verdict: numerical_error,0.278178,0.0409246,565,simplex-dual+primal,60.0,78cc077,Windows-AMD64,2026-09-24T06:00:22+00:00,
ex72a,6504fe624515491de8598d40eaa4817397bf8f0858691883351334a7bed93ba7,1,197,215,467,infeasible,infeasible,"dual simplex: basic variable 300 is outside its bounds by 7.071e-01, far above the 1.0e-07 feasibility tolerance, and no nonbasic column can move it (the dual is unbounded), at iteration 133; route: the scaled attempt returned infeasible after 0.0 s of its 30 s share; neither attempt produced a usab",farkas,58,,,,,1,VERIFIED: 10 checks passed,1,,0.228,0.005674,133,simplex-dual,60.0,78cc077,Windows-AMD64,2026-09-24T06:00:22+00:00,
ex73a,e2a214d7912ab08038a41da81c864dbb45880fa333c34fd6dee8224d90de1c4b,1,193,211,457,infeasible,infeasible,"dual simplex: basic variable 262 is outside its bounds by 7.071e-01, far above the 1.0e-07 feasibility tolerance, and no nonbasic column can move it (the dual is unbounded), at iteration 142; route: the scaled attempt returned infeasible after 0.0 s of its 30 s share; neither attempt produced a usab",farkas,88,,,,,1,VERIFIED: 10 checks passed,1,,0.281527,0.00564,142,simplex-dual,60.0,78cc077,Windows-AMD64,2026-09-24T06:00:22+00:00,
galenet,9725ac10aa3d4ab65d78d59b1ab005869027fd21a92bf06e06d5441101ed9e35,1,8,8,16,infeasible,infeasible,"dual simplex: basic variable 12 is outside its bounds by 1.500e+01, far above the 1.0e-07 feasibility tolerance, and no nonbasic column can move it (the dual is unbounded), at iteration 1; route: the scaled attempt returned infeasible after 0.0 s of its 30 s share; neither attempt produced a usable ",farkas,2,,,,,1,VERIFIED: 4 checks passed,1,,0.198287,0.0005321,1,simplex-dual,60.0,78cc077,Windows-AMD64,2026-09-24T06:00:22+00:00,
gosh,c4a6d9de8bc4bf6fba0f86a6b02c4219a03964aa7dfb2af412843e8cdf8d087a,1,3792,10733,97231,infeasible,infeasible,"phase 1 terminated with max bound violation 1.263e+01, far above the 1.0e-07 feasibility tolerance; route: the scaled attempt returned infeasible after 8.0 s of its 15 s share; neither attempt produced a usable point; the scaled attempt came closer to feasibility and is reported; proof: the rows agg",farkas,9,,,,,1,VERIFIED: 10 checks passed,1,,48.900969,46.0288028,14758,simplex-dual+primal,60.0,78cc077,Windows-AMD64,2026-09-24T06:00:22+00:00,
gran,86001f8d874a0d6285e9cbd9969cbc7727a388db63d812c2d37c759103fca450,1,2658,2520,20106,infeasible,infeasible,row 1612 allows activity of at most 97.7 but the column bounds force at least 97.7; proved by presolve; no machine-checkable certificate accompanies this verdict,none,0,,,,,,VERIFIED: 1 checks passed,0,infeasible without a certificate (presolve),1.906831,0.0027461,0,presolve,60.0,78cc077,Windows-AMD64,2026-09-24T06:00:22+00:00,
