problem,reference_objective,dual_bound,sense,variables,integer_variables,constraints,convex_per_minlplib,source,nl_sha256
ball_mk2_10,0.0,0.0,min,10,10,1,True,https://www.minlplib.org/nl/ball_mk2_10.nl,799a1b3c2438dc2336ab51f566b2957ab6296300194ce8178faec289683e39dd
batchdes,167427.6571,167427.6571,min,19,9,19,True,https://www.minlplib.org/nl/batchdes.nl,e1f7581af0e12085854c7085afc322f2a67cdc37ba19513d01c168928eead4e8
clay0203m,41573.26252,41573.26235,min,30,18,54,True,https://www.minlplib.org/nl/clay0203m.nl,bff4b0c4e9941fe3a46d57119a1f112ea813ebb78b085eb439c2f2ce088e4e8f
cvxnonsep_pcon20,-21.5123012,-21.5123012,min,20,10,1,True,https://www.minlplib.org/nl/cvxnonsep_pcon20.nl,5aba71ec786ba5151d8845961c0c53a310cdfcdd5933fd4f485818e8795aed76
ex1223,4.579582402,4.5795824,min,11,4,13,True,https://www.minlplib.org/nl/ex1223.nl,02806aaf65e5b3d5e7ad7a41467499fa0c1351157fb7a5d0ea18b86dcb6214da
ex1223a,4.579582402,4.579582402,min,7,4,9,True,https://www.minlplib.org/nl/ex1223a.nl,fb95902105bb7e0b8ef429aaef730758d1cd29b282fda309011d28e7940b435b
ex1223b,4.579582402,4.5795824,min,7,4,9,True,https://www.minlplib.org/nl/ex1223b.nl,c5962fd1e92242288885b02098e0190fd5ce0d8d5e743fc2cef82b210213848f
fac1,160912612.4,160912612.4,min,22,6,18,True,https://www.minlplib.org/nl/fac1.nl,42b1d931953a6911131783fb944038f7cf9f7e9948e8883fd511030da7e38b11
flay02m,37.94733192,37.94733192,min,14,4,11,True,https://www.minlplib.org/nl/flay02m.nl,d4c6462261f07d8354eeae968cdc1050dc4c58a3c5ec573f44b26f3ba8597c1b
gbd,2.2,2.2,min,4,3,4,True,https://www.minlplib.org/nl/gbd.nl,21d31b07bf0bcd5708a82533a316d6e2d67c077f25ff81f87671dc7433633b18
jit1,173983.33,173983.3298,min,25,4,32,True,https://www.minlplib.org/nl/jit1.nl,5040869b1682d41fa5bf8329e866d59d66217b42f86f8aa8f46c76c37f0f3022
m3,37.8,37.8,min,26,6,43,True,https://www.minlplib.org/nl/m3.nl,bb50f6da5343ba5684c8a9b77bb2460d494d2ec0efb73983ff505f9690e7a49b
nvs03,16.0,16.0,min,2,2,2,True,https://www.minlplib.org/nl/nvs03.nl,4cba8369f59183e2abb538e7b9b01ee4f2389ada65f7a9c4c291c5bb2404479f
st_e14,4.579582402,4.5795824,min,11,4,13,True,https://www.minlplib.org/nl/st_e14.nl,929605ed916a0d3f53c74c5f0eb515a0f4fdd91eebeccfc5a7e8921a6bfe197f
syn05m,837.7324009,837.7324009,max,20,5,28,True,https://www.minlplib.org/nl/syn05m.nl,7fa0bed03298d816a0d58714d570d89a9b8a21429639a194992f66c5b8e7b65a
synthes2,73.03531253,73.03531252,min,11,5,14,True,https://www.minlplib.org/nl/synthes2.nl,2c76b6fc5e3ef27c2f082722446ee85afb060e77a4b17011bf22580411ed36dc
synthes3,68.00974052,68.00974052,min,17,8,23,True,https://www.minlplib.org/nl/synthes3.nl,fca21fc8111f0ba8e97207af1e8f4ab8e770a906c27e0a98f4f9d9b0179ebd5b
