instance,instance_sha256,matches_manifest,rows,columns,nonzeros,expected_status,status,message,certificate,certificate_multipliers,our_objective,published_objective,absolute_gap,relative_gap,independently_verified,verifier_message,passed,failure_reason,wall_seconds,solver_seconds,iterations,algorithm,time_limit,git_commit,machine,timestamp_utc,solver_options
bgdbg1,c90dfff4208538aa5c5a58cae07bc1f53a1179abae8be0db29b8c65a717d9190,1,348,407,1440,infeasible,infeasible,row 163 allows activity of at most 24 but the column bounds force at least 54; proved by presolve; proof: the rows aggregate to at least 30 but the column bounds allow at most 0,farkas,2,,,,,1,VERIFIED: 4 checks passed,1,,0.025076,0.0012387,0,presolve,60.0,65eecbc,Windows-AMD64,2026-09-23T22:35:48+00:00,
bgetam,9fa889256f283638a80a4644ac7324116d5790d070390c31acf0c995cf67339e,1,400,688,2409,infeasible,infeasible,"dual simplex: basic variable 808 is outside its bounds by 2.733e+03, far above the 1.0e-07 feasibility tolerance, and no nonbasic column can move it (the dual is unbounded), at iteration 17; route: the scaled attempt returned infeasible after 0.0 s of its 30 s share; neither attempt produced a usabl",farkas,14,,,,,1,VERIFIED: 10 checks passed,1,,0.085219,0.0030364,17,simplex-dual,60.0,65eecbc,Windows-AMD64,2026-09-23T22:35:48+00:00,
bgindy,3de2a7d877b4bc95162e15c3ea58a917a584f719d781936864a89969459582d3,1,2671,10116,65502,infeasible,infeasible,"dual simplex: basic variable 12467 is outside its bounds by 7.134e+03, far above the 1.0e-07 feasibility tolerance, and no nonbasic column can move it (the dual is unbounded), at iteration 1; route: the scaled attempt returned infeasible after 0.0 s of its 30 s share; neither attempt produced a usab",none,0,,,,,,VERIFIED: 1 checks passed,0,infeasible without a certificate (simplex-dual),0.118101,0.0365235,1,simplex-dual,60.0,65eecbc,Windows-AMD64,2026-09-23T22:35:48+00:00,
bgprtr,7789be4d523766c796e9b55bc109af521dd9cacffdf975351996102fd280a029,1,20,34,64,infeasible,infeasible,"phase 1 terminated with max bound violation 2.343e+01, far above the 1.0e-07 feasibility tolerance; route: the scaled attempt returned infeasible after 0.0 s of its 30 s share; neither attempt produced a usable point; the scaled attempt came closer to feasibility and is reported; proof: the rows agg",farkas,6,,,,,1,VERIFIED: 10 checks passed,1,,0.030188,0.0009405,24,simplex-dual+primal,60.0,65eecbc,Windows-AMD64,2026-09-23T22:35:48+00:00,
box1,9f557c377ec94c9dfe9352f7db4f63b64931107653cc4eda52adcb4e83dd31d7,1,231,261,651,infeasible,infeasible,"dual simplex: basic variable 201 is outside its bounds by 7.071e-01, far above the 1.0e-07 feasibility tolerance, and no nonbasic column can move it (the dual is unbounded), at iteration 7; route: the scaled attempt returned infeasible after 0.0 s of its 30 s share; neither attempt produced a usable",none,0,,,,,,VERIFIED: 1 checks passed,0,infeasible without a certificate (simplex-dual),0.027835,0.0022838,7,simplex-dual,60.0,65eecbc,Windows-AMD64,2026-09-23T22:35:48+00:00,
ceria3d,13621278cc53239b77e9f27e7c4f31bf5738ec255afb1da68720edaf3521e527,1,3576,824,17602,infeasible,infeasible,row 292 needs activity of at least 0.75 but the column bounds cap it at 0.5; proved by presolve; no machine-checkable certificate accompanies this verdict,none,0,,,,,,VERIFIED: 1 checks passed,0,infeasible without a certificate (presolve),0.03793,0.0015965,0,presolve,60.0,65eecbc,Windows-AMD64,2026-09-23T22:35:48+00:00,
chemcom,f73643cf251c078ccac980953b5412671cb10eadab894693c52eb537d51d3a86,1,288,720,1566,infeasible,infeasible,"dual simplex: basic variable 807 is outside its bounds by 2.909e+03, far above the 1.0e-07 feasibility tolerance, and no nonbasic column can move it (the dual is unbounded), at iteration 6; route: the scaled attempt returned infeasible after 0.0 s of its 30 s share; neither attempt produced a usable",farkas,7,,,,,1,VERIFIED: 10 checks passed,1,,0.047622,0.0022724,6,simplex-dual,60.0,65eecbc,Windows-AMD64,2026-09-23T22:35:48+00:00,
cplex1,9b0af7aa14310f63eaef5da71b660baca881dbe6033be91a94f40fd8e27e8688,1,3005,3221,8944,infeasible,infeasible,"phase 1 terminated with max bound violation 6.834e+06, far above the 1.0e-07 feasibility tolerance; route: the scaled attempt returned infeasible after 0.1 s of its 30 s share; neither attempt produced a usable point; the scaled attempt came closer to feasibility and is reported; no machine-checkabl",none,0,,,,,,VERIFIED: 1 checks passed,0,infeasible without a certificate (simplex-dual+primal),0.269474,0.2328515,1671,simplex-dual+primal,60.0,65eecbc,Windows-AMD64,2026-09-23T22:35:48+00:00,
cplex2,0880d61868b1d4308189fdb2cd020fc7068d3552d1c6aead9ef1edb9579624d7,1,224,221,1058,infeasible,numerical_error,"phase 1 stalled at max bound violation 4.100e-06, only just above the 1.0e-07 feasibility tolerance; no column prices as improving, but this is a numerical stall rather than a proof that the model is infeasible; route: the scaled attempt returned numerical_error after 0.0 s of its 30 s share; neithe",none,0,,,,,,VERIFIED: 1 checks passed,0,no verdict: numerical_error,0.048595,0.0217295,565,simplex-dual+primal,60.0,65eecbc,Windows-AMD64,2026-09-23T22:35:48+00:00,
ex72a,6504fe624515491de8598d40eaa4817397bf8f0858691883351334a7bed93ba7,1,197,215,467,infeasible,infeasible,"dual simplex: basic variable 151 is outside its bounds by 7.071e-01, far above the 1.0e-07 feasibility tolerance, and no nonbasic column can move it (the dual is unbounded), at iteration 73; route: the scaled attempt returned infeasible after 0.0 s of its 30 s share; neither attempt produced a usabl",none,0,,,,,,VERIFIED: 1 checks passed,0,infeasible without a certificate (simplex-dual),0.035517,0.0034727,73,simplex-dual,60.0,65eecbc,Windows-AMD64,2026-09-23T22:35:48+00:00,
