instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,reference_objective,absolute_gap,relative_gap,matches_reference,primal_residual,dual_residual,duality_gap,primal_residual_rel,dual_residual_rel,duality_gap_rel,success_rel_1e-6,success_rel_1e-9,success_abs_1e-6,success_abs_1e-9,independently_verified,verifier_message,passed,wall_seconds,solver_seconds,iterations,algorithm,time_limit,git_commit,machine,timestamp_utc,solver_options
aug2d,02192b136ef5a1cbc3115c1c8ecf16a00047f8bdb7ead4233109796b3f4b34a9,10000,20200,40000,numerical_error,"engine reported optimal but the returned point violates primal feasibility by 3.209e-07 (3.209e-07 relative to the scale it was measured on), above the 1.0e-07 tolerance; it is not a feasible point",1687411.122323221,1687411.8,0.6776767789851874,4.0160723006985456e-07,0,,,,,,,0,0,0,0,,,0,1.169954,0.94869753,3300,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:27:52+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true
aug2dc,04e9ead714afdc3b34ecec3b7c2d7860e7dc8b07c56b7c34b8bb7854f1ff047a,10000,20200,40000,numerical_error,"engine reported optimal but the returned point violates primal feasibility by 4.927e-07 (4.927e-07 relative to the scale it was measured on), above the 1.0e-07 tolerance; it is not a feasible point",1818367.014722395,1818368.1,1.0852776051033288,5.968415334075256e-07,0,,,,,,,0,0,0,0,,,0,1.16185,0.94090236,3300,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:27:52+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true
aug2dcqp,46196205ae60e36a1ffb6ce90ea9f2372faedafb9da5f37da4be97dcae47c54f,10000,20200,40000,numerical_error,"engine reported optimal but the returned point violates primal feasibility by 6.362e-07 (6.362e-07 relative to the scale it was measured on), above the 1.0e-07 tolerance; it is not a feasible point",6498139.691827625,6498134.8,4.891827625222504,7.52804885676195e-07,0,,,,,,,0,0,0,0,,,0,8.105062,7.883263825,27050,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:27:52+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true
aug2dqp,b197b11fcee4907481a21e886ced528145063dbbb061e116c88c17f9dad64c1b,10000,20200,40000,feasible,"the in-process KKT check does not back the optimal claim (dual feasibility (columns): 3.550e-07 (3.550e-07 relative) on column 192); reported as feasible, not optimal (#590)",6237012.026402188,6237012.1,0.07359781116247177,1.180017129716195e-08,0,3.827673955569821e-09,8.72054438882941e-07,0.0008900351822376251,5.83410964398655e-11,3.1973918239588624e-10,1.4270217509120962e-10,0,0,0,0,1,,0,9.38355,9.062243493,30900,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:27:52+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true
aug3d,76f244bf29b122513d1f4c97b892284d85f2ac95030e13cffd1cd26c582bf94e,1000,3873,6546,optimal,,554.0677524658859,554.06773,2.2465885876954417e-05,4.054718342278194e-08,1,5.0537017459717504e-08,5.314952478130408e-08,5.590065347860218e-05,1.259644223948499e-08,1.764588214800582e-08,1.0089136794158219e-07,1,0,0,0,1,,1,0.188906,0.007762331,200,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:27:52+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true
aug3dc,b072c781ed91457d1384275247803fc1edd7a6ad15276885e258c80fce69a3bc,1000,3873,6546,optimal,,771.262458070579,771.26244,1.8070579017148702e-05,2.342987040461701e-08,1,2.971723223055278e-08,8.23057177967712e-09,2.678824694157811e-05,1.0685506170324524e-08,2.9594891224970183e-09,3.473298442218002e-08,1,0,0,0,1,,1,0.281257,0.014513537,250,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:27:52+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true
aug3dcqp,96a6134f1de6ab9ff6728eeae3afb712812edfa57ab116b96b5b36b564d0f5e3,1000,3873,6546,numerical_error,"engine reported optimal but the returned point violates primal feasibility by 1.530e-07 (1.530e-07 relative to the scale it was measured on), above the 1.0e-07 tolerance; it is not a feasible point",993.3622905312277,993.36215,0.00014053122765744774,1.4147028619667836e-07,0,,,,,,,0,0,0,0,,,0,0.257599,0.024693895,450,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:27:52+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true
aug3dqp,1de556794b7d959bbe7ff26676c1447eea09ecb0c4431c6d06391f004bf6daed,1000,3873,6546,feasible,"the in-process KKT check does not back the optimal claim (dual feasibility (columns): 1.045e-07 (1.045e-07 relative) on column 21); reported as feasible, not optimal (#590)",675.2376504430467,675.23767,1.95569532479567e-05,2.8963066068213728e-08,0,5.325968643887791e-08,5.780632661989138e-07,5.7244003073719796e-05,1.5465864126557595e-08,1.1072802622899315e-07,8.477607577604277e-08,0,0,0,0,1,,0,0.271381,0.024416923,450,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:27:52+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true
boyd1,6902192b4f0556984e61acdb30a44d5f335991d00e103950499f3012c29d0fc5,18,93261,558985,time_limit,"stopped at the time limit of 29.9826s after 29.98s, 11785 iterations, 0 nodes",-85252336.1389729,-61735220.0,23517116.138972893,0.38093516373591757,0,395986961.2976723,9507438.698178882,300167924.76649237,0.00010559637471849683,0.9865620655710913,0.7788068122348054,0,0,0,0,,,0,30.697942,29.986486487,11785,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:27:52+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true
boyd2,c1c49668a02e6487fad5aebb3029aa41b1e6180a5680262d5fdd6f8dc6795e4f,186531,93263,423784,time_limit,"stopped at the time limit of 29.9661s after 29.97s, 15878 iterations, 0 nodes",-2.090070450856709,21.256767,23.34683745085671,1.0983249452212893,0,13213942.244907642,110116792039.30344,334311738100498.1,6.117565852989226e-05,1.0,1.0000000000000062,0,0,0,0,,,0,30.754118,29.967854494,15878,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:27:52+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true
