instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
25fv47,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,821,1571,10400,feasible,"; crossover did not reach a vertex (not_solved after 0 pivots, 0.00s), the interior point's answer stands; engine reported optimal but the reduced costs violate dual feasibility by 2.851e-03 (5.349e-04 relative to the terms they are computed from), above the 1.0e-07 tolerance; reporting a feasible point rather than a proof",5501.845888920994,5501.8458883,6.209938874235377e-07,1.1287009851441274e-10,0,1,,0,0.0,0,0.248867,0.2158587,23,ipm,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
80bau3b,22aef70f5ce164435b15c5c0aa3be93a99932dc136eb936eb17835a661087b9f,2262,9799,21002,optimal,"crossover push: 339 superbasic, 275 pivots in the push; crossover: 639 pivots from the interior point's basis guess in 0.15s, after 37 interior point iterations",987224.192409091,987232.16072,7.9683109089965,8.071364797501246e-06,0,1,,0,0.0,0,0.563027,0.4932252,676,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
adlittle,db211f7bf735518a246a2a0e385ec51abc09cd601da7ae50d6c3fe083cb6f94b,56,97,383,optimal,"crossover push: 30 superbasic, 22 pivots in the push; crossover: 30 pivots from the interior point's basis guess in 0.00s, after 15 interior point iterations",225494.96316238024,225494.96316,2.3802276700735092e-06,1.0555569121003461e-11,1,1,,1,0.0,0,0.029176,0.002416,45,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
afiro,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,27,32,83,optimal,"crossover push: 7 superbasic, 7 pivots in the push; crossover: 7 pivots from the interior point's basis guess in 0.00s, after 9 interior point iterations",-464.75314285714285,-464.75314286,2.857177605619654e-09,6.147731649617561e-12,1,1,,1,0.0,0,0.028997,0.0009003,16,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
agg,d7844795d0c799f5cdc1416c8d242f5e8f351f5a3271f42a2d428f170abf1f03,488,163,2410,optimal,"crossover push: 15 superbasic, 7 pivots in the push; crossover: 24 pivots from the interior point's basis guess in 0.00s, after 33 interior point iterations",-35991767.2865765,-35991767.287,0.0004234984517097473,1.1766536728601052e-11,1,1,,1,0.0,0,0.109166,0.0754091,57,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
agg2,0515e9b78a802f9473578b23a7a60075554fc39ea7b5796fb41530cd760e4534,516,302,4284,optimal,"crossover push: 64 superbasic, 28 pivots in the push; crossover: 38 pivots from the interior point's basis guess in 0.00s, after 18 interior point iterations",-20239252.35597712,-20239252.356,2.2877007722854614e-05,1.1303286959645347e-12,1,1,,1,0.0,0,0.085955,0.0527906,56,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
agg3,1a6e78a0b7d210c935c97527ce49449d0655f9605fcbc33bfdfc93952f3b12d1,516,302,4300,optimal,"crossover push: 65 superbasic, 33 pivots in the push; crossover: 40 pivots from the interior point's basis guess in 0.00s, after 19 interior point iterations",10312115.935089214,10312115.935,8.921325206756592e-05,8.651304216312219e-12,1,1,,1,0.0,0,0.134052,0.096983,59,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
bandm,696daa77a79a0715c2fad877285e49bd7fcd7f5513f3cb83fbe0be916b6d8c81,305,472,2494,optimal,"crossover push: 33 superbasic, 11 pivots in the push; crossover: 14 pivots from the interior point's basis guess in 0.00s, after 19 interior point iterations",-158.62801845012072,-158.62801845,1.2070699995092582e-10,7.609437546430236e-13,1,1,,1,0.0,0,0.043355,0.015972,33,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
beaconfd,7138e7b58b1d6160f1ad42112a61ed00b5db1c92d73dc48d77f6a26fc717dbfc,173,262,3375,numerical_error,"the interior-point iteration stalled after 10 iterations (steps 4.4e-08 / 9.0e-08); the model may be infeasible or unbounded, which this method does not certify",3.4335,33592.485807,33589.052307,0.9998977896420133,0,,,0,0.0,0,0.038933,0.0078963,10,ipm,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
blend,38e1d84a38f1e0adaa16d3dd0abe758f6cea13a21f33681aa92742b693260aef,74,83,491,optimal,"crossover push: 5 superbasic, 4 pivots in the push; crossover: 8 pivots from the interior point's basis guess in 0.00s, after 12 interior point iterations",-30.812149845828223,-30.812149846,1.7177725908368302e-10,5.574984541560087e-12,1,1,,1,0.0,0,0.034589,0.0067513,20,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
bnl1,7a842adca058eaa3cb712b3bbae357602f22df6cc318c4d278f6600167fe2300,643,1175,5121,optimal,"crossover push: 307 superbasic, 146 pivots in the push; crossover: 181 pivots from the interior point's basis guess in 0.01s, after 34 interior point iterations",1977.6295615228883,1977.6292856,0.0002759228882496245,1.3952204806974796e-07,1,1,,1,0.0,0,0.115585,0.079848,215,ipm+crossover,078cb24,Windows-AMD64,2026-09-20T09:58:44+00:00,algorithm=ipm
