instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,reference_objective,absolute_gap,relative_gap,matches_reference,primal_residual,dual_residual,duality_gap,primal_residual_rel,dual_residual_rel,duality_gap_rel,success_rel_1e-6,success_rel_1e-9,success_abs_1e-6,success_abs_1e-9,independently_verified,verifier_message,passed,wall_seconds,solver_seconds,iterations,algorithm,time_limit,git_commit,machine,timestamp_utc,solver_options
aug2d,02192b136ef5a1cbc3115c1c8ecf16a00047f8bdb7ead4233109796b3f4b34a9,10000,20200,40000,numerical_error,"engine reported optimal but the returned point violates primal feasibility by 9.937e-07 (9.937e-07 relative to the scale it was measured on), above the 1.0e-07 tolerance; it is not a feasible point",1687409.7927079787,1687411.8,2.007292021298781,1.1895685577751567e-06,0,,,,,,,0,0,0,0,,,0,11.004538,10.839808681,41600,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T11:58:33+00:00,qp_tolerance=1e-6
aug2dc,04e9ead714afdc3b34ecec3b7c2d7860e7dc8b07c56b7c34b8bb7854f1ff047a,10000,20200,40000,numerical_error,"engine reported optimal but the returned point violates primal feasibility by 9.925e-07 (9.925e-07 relative to the scale it was measured on), above the 1.0e-07 tolerance; it is not a feasible point",1818365.9488095175,1818368.1,2.151190482545644,1.1830335576969504e-06,0,,,,,,,0,0,0,0,,,0,11.55256,11.340673801,43300,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T11:58:33+00:00,qp_tolerance=1e-6
aug2dcqp,46196205ae60e36a1ffb6ce90ea9f2372faedafb9da5f37da4be97dcae47c54f,10000,20200,40000,time_limit,"stopped at the time limit of 29.997s after 30.00s, 113336 iterations, 0 nodes",6497338.955450465,6498134.8,795.8445495348424,0.0001224727670369107,0,0.00010207985250310081,9.504405582561049e-07,795.9996696226299,1.5634166312639827e-06,3.4135352485409015e-10,0.00012249663559163793,0,0,0,0,,,0,30.248631,29.997295715,113336,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T11:58:33+00:00,qp_tolerance=1e-6
aug2dqp,b197b11fcee4907481a21e886ced528145063dbbb061e116c88c17f9dad64c1b,10000,20200,40000,time_limit,"stopped at the time limit of 29.997s after 30.00s, 111089 iterations, 0 nodes",6236249.634864012,6237012.1,762.465135987848,0.00012224846188575587,0,0.00010186299441383717,9.578482220717888e-07,762.60907993,1.552662403138305e-06,3.512212907355402e-10,0.00012227153805421554,0,0,0,0,,,0,30.268456,29.997308671,111089,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T11:58:33+00:00,qp_tolerance=1e-6
aug3d,76f244bf29b122513d1f4c97b892284d85f2ac95030e13cffd1cd26c582bf94e,1000,3873,6546,numerical_error,"engine reported optimal but the returned point violates primal feasibility by 5.302e-07 (5.302e-07 relative to the scale it was measured on), above the 1.0e-07 tolerance; it is not a feasible point",554.0674459757608,554.06773,0.0002840242391357606,5.126164614130489e-07,0,,,,,,,0,0,0,0,,,0,0.275281,0.009015651,250,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T11:58:33+00:00,qp_tolerance=1e-6
aug3dc,b072c781ed91457d1384275247803fc1edd7a6ad15276885e258c80fce69a3bc,1000,3873,6546,numerical_error,"engine reported optimal but the returned point violates primal feasibility by 1.196e-07 (1.196e-07 relative to the scale it was measured on), above the 1.0e-07 tolerance; it is not a feasible point",771.2623607121584,771.26244,7.928784157229529e-05,1.0280267449857314e-07,0,,,,,,,0,0,0,0,,,0,0.198351,0.017979903,350,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T11:58:33+00:00,qp_tolerance=1e-6
aug3dcqp,96a6134f1de6ab9ff6728eeae3afb712812edfa57ab116b96b5b36b564d0f5e3,1000,3873,6546,numerical_error,"engine reported optimal but the returned point violates primal feasibility by 8.373e-07 (8.373e-07 relative to the scale it was measured on), above the 1.0e-07 tolerance; it is not a feasible point",993.3613588999369,993.36215,0.0007911000631111165,7.963863562861907e-07,0,,,,,,,0,0,0,0,,,0,0.237217,0.050676127,1050,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T11:58:33+00:00,qp_tolerance=1e-6
aug3dqp,1de556794b7d959bbe7ff26676c1447eea09ecb0c4431c6d06391f004bf6daed,1000,3873,6546,numerical_error,"engine reported optimal but the returned point violates primal feasibility by 4.740e-07 (4.740e-07 relative to the scale it was measured on), above the 1.0e-07 tolerance; it is not a feasible point",675.2373442147427,675.23767,0.00032578525724602514,4.824749443348224e-07,0,,,,,,,0,0,0,0,,,0,0.346364,0.044997696,950,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T11:58:33+00:00,qp_tolerance=1e-6
boyd1,6902192b4f0556984e61acdb30a44d5f335991d00e103950499f3012c29d0fc5,18,93261,558985,time_limit,"stopped at the time limit of 29.9825s after 29.98s, 12137 iterations, 0 nodes",-84783881.11579308,-61735220.0,23048661.11579308,0.3733470313346754,0,547507535.706295,4742085.817129454,769873187.8330442,0.00014600144771499964,0.3296915183203878,1.1237559545660591,0,0,0,0,,,0,30.795361,29.986400625,12137,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T11:58:33+00:00,qp_tolerance=1e-6
boyd2,c1c49668a02e6487fad5aebb3029aa41b1e6180a5680262d5fdd6f8dc6795e4f,186531,93263,423784,time_limit,"stopped at the time limit of 29.9676s after 29.97s, 18043 iterations, 0 nodes",-2.091407086626531,21.256767,23.348174086626532,1.0983878257039996,0,10514926.856368102,150351.53105072118,456845515.1053021,4.868021691860465e-05,1.0,1.0000000045779307,0,0,0,0,,,0,30.690814,29.970242388,18043,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T11:58:33+00:00,qp_tolerance=1e-6
cont-050,9c452ffc27f314a3d791d997221209ad49e9903a368c803ed714c75643a0e916,2401,2597,12005,feasible,"the in-process KKT check does not back the optimal claim (complementary slackness: |multiplier| * slack = 1.111e-06 on column 18); reported as feasible, not optimal (#590)",-4.56383803376427,-4.5638509,1.2866235730157882e-05,2.8191621532066005e-06,0,5.986312392528004e-07,0.0,0.004080139910981551,1.7103749692937154e-07,0.0,0.0008932165060432234,0,0,0,0,1,,0,12.338772,12.172161329,253450,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T11:58:33+00:00,qp_tolerance=1e-6
cont-100,79066914e40a8c3f40db52502fb2d4d197d531a7b88751bdc0c4cdb43e0faff4,9801,10197,49005,time_limit,"stopped at the time limit of 29.9973s after 30.00s, 152089 iterations, 0 nodes",-4.609357253387203,-4.6443979,0.03504064661279749,0.007544712440076998,0,0.0009514792176654723,0.0,3.25651871385205,0.0002881946299182302,0.0,0.41400585610746865,0,0,0,0,,,0,30.291651,29.997656167,152089,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T11:58:33+00:00,qp_tolerance=1e-6
cont-101,80e75837b280a2fe148dd23af99f142e7e3827275c0969f742d53dc35e6358d9,10098,10197,49599,time_limit,"stopped at the time limit of 29.9971s after 30.00s, 165165 iterations, 0 nodes",0.08908945161456083,0.19552733,0.10643787838543917,0.10643787838543917,0,0.0026565951559724965,0.0,17.477261456437986,0.0006661277904581644,0.0,1.0051235662719376,0,0,0,0,,,0,30.209823,29.997371841,165165,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T11:58:33+00:00,qp_tolerance=1e-6
cont-200,2c46760c82c4cbbd029c53ab3cb0a1132e96d58afc78e36b1dee7d34a0c5705a,39601,40397,198005,time_limit,"stopped at the time limit of 29.9887s after 29.99s, 39368 iterations, 0 nodes",-2.312881623072061,-4.6848759,2.3719942769279387,0.5063088815069656,0,0.000504727793661897,0.0,25.464990389282725,0.00027677633838983466,0.0,0.9167365440360816,0,0,0,0,,,0,30.436082,29.989755494,39368,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T11:58:33+00:00,qp_tolerance=1e-6
